13/10/72 15:10:33, 730 
13/10/72 15:10:34, -557 
13/10/72 15:10:35, -584 
13/10/72 15:10:36, -584 
13/10/72 15:10:37, 294 
13/10/72 15:10:37, -648 
13/10/72 15:10:38, -514 
13/10/72 15:10:39, -637 
13/10/72 15:10:40, -590 
13/10/72 15:10:41, -424 
13/10/72 15:10:42, -424 
13/10/72 15:10:43, -44 
13/10/72 15:10:44, 274 
13/10/72 15:10:45, 451 
13/10/72 15:10:46, 165 
13/10/72 15:10:47, 165 
13/10/72 15:10:48, 369 
13/10/72 15:10:49, -68 
13/10/72 15:10:50, -68 
13/10/72 15:10:51, 162 
13/10/72 15:10:52, 102 
13/10/72 15:10:53, 37 
13/10/72 15:10:54, 102 
13/10/72 15:10:55, -271 
13/10/72 15:10:56, -165 
13/10/72 15:10:57, -376 
13/10/72 15:10:58, 37 
13/10/72 15:10:59, 102 
13/10/72 15:11:00, 37 
13/10/72 15:11:01, -65 
13/10/72 15:11:02, -165 
13/10/72 15:11:03, -165 
13/10/72 15:11:04, -271 
13/10/72 15:11:05, -629 
13/10/72 15:11:06, -629 
13/10/72 15:11:07, -259 
13/10/72 15:11:08, -94 
13/10/72 15:11:09, -259 
13/10/72 15:11:10, 197 
13/10/72 15:11:11, -293 
13/10/72 15:11:12, -269 
13/10/72 15:11:13, -269 
13/10/72 15:11:14, -269 
13/10/72 15:11:15, -216 
13/10/72 15:11:15, 251 
13/10/72 15:11:16, 214 
13/10/72 15:11:17, 428 
13/10/72 15:11:18, 428 
13/10/72 15:11:19, 373 
13/10/72 15:11:20, 709 
13/10/72 15:11:21, 470 
13/10/72 15:11:22, -155 
13/10/72 15:11:23, -155 
13/10/72 15:11:24, -86 
13/10/72 15:11:25, 428 
13/10/72 15:11:26, 452 
13/10/72 15:11:27, 373 
13/10/72 15:11:28, 135 
13/10/72 15:11:29, 45 
13/10/72 15:11:30, 269 
13/10/72 15:11:31, 269 
13/10/72 15:11:32, 101 
13/10/72 15:11:33, 101 
13/10/72 15:11:34, 243 
13/10/72 15:11:35, 206 
13/10/72 15:11:36, 206 
13/10/72 15:11:37, -478 
13/10/72 15:11:38, -345 
13/10/72 15:11:39, -536 
13/10/72 15:11:40, -140 
13/10/72 15:11:41, -133 
13/10/72 15:11:42, -51 
13/10/72 15:11:43, -51 
13/10/72 15:11:44, -125 
13/10/72 15:11:45, -122 
13/10/72 15:11:46, -122 
13/10/72 15:11:47, 160 
13/10/72 15:11:48, -51 
13/10/72 15:11:49, -51 
13/10/72 15:11:50, -125 
13/10/72 15:11:51, -122 
13/10/72 15:11:52, -122 
13/10/72 15:11:53, -202 
13/10/72 15:11:53, -122 
13/10/72 15:11:54, -202 
13/10/72 15:11:55, -40 
13/10/72 15:11:56, 68 
13/10/72 15:11:57, 68 
13/10/72 15:11:58, 68 
13/10/72 15:11:59, 50 
13/10/72 15:12:00, 6 
13/10/72 15:12:01, -112 
13/10/72 15:12:02, 89 
13/10/72 15:12:03, 89 
13/10/72 15:12:04, 68 
13/10/72 15:12:05, 68 
13/10/72 15:12:06, -185 
13/10/72 15:12:07, 6 
13/10/72 15:12:08, 6 
13/10/72 15:12:09, 89 
13/10/72 15:12:10, 144 
13/10/72 15:12:11, 89 
13/10/72 15:12:12, 143 
13/10/72 15:12:13, -47 
13/10/72 15:12:14, -737 
13/10/72 15:12:15, -737 
13/10/72 15:12:16, 246 
13/10/72 15:12:17, 84 
13/10/72 15:12:18, 84 
13/10/72 15:12:19, 36 
13/10/72 15:12:20, -387 
13/10/72 15:12:21, -387 
13/10/72 15:12:22, -517 
13/10/72 15:12:23, -323 
13/10/72 15:12:24, -283 
13/10/72 15:12:25, -314 
13/10/72 15:12:26, -314 
13/10/72 15:12:27, 396 
13/10/72 15:12:28, 744 
13/10/72 15:12:29, 631 
13/10/72 15:12:30, 192 
13/10/72 15:12:31, 192 
13/10/72 15:12:31, 309 
13/10/72 15:12:32, 132 
13/10/72 15:12:33, 132 
13/10/72 15:12:34, -79 
13/10/72 15:12:35, -79 
13/10/72 15:12:36, -217 
13/10/72 15:12:37, -676 
13/10/72 15:12:38, -676 
13/10/72 15:12:39, -653 
13/10/72 15:12:40, 75 
13/10/72 15:12:41, -79 
13/10/72 15:12:42, -217 
13/10/72 15:12:43, 601 
13/10/72 15:12:44, 615 
13/10/72 15:12:45, -676 
13/10/72 15:12:46, -853 
13/10/72 15:12:47, -252 
13/10/72 15:12:48, -321 
13/10/72 15:12:49, -406 
13/10/72 15:12:50, -406 
13/10/72 15:12:51, -627 
13/10/72 15:12:52, -428 
13/10/72 15:12:53, -428 
13/10/72 15:12:54, -280 
13/10/72 15:12:55, 107 
13/10/72 15:12:56, 107 
13/10/72 15:12:57, -44 
13/10/72 15:12:58, 506 
13/10/72 15:12:59, 516 
13/10/72 15:13:00, 516 
13/10/72 15:13:01, 516 
13/10/72 15:13:02, 816 
13/10/72 15:13:03, 127 
13/10/72 15:13:04, 42 
13/10/72 15:13:05, -153 
13/10/72 15:13:06, -153 
13/10/72 15:13:07, -352 
13/10/72 15:13:08, -335 
13/10/72 15:13:09, -395 
13/10/72 15:13:09, -66 
13/10/72 15:13:10, -66 
13/10/72 15:13:11, 252 
13/10/72 15:13:12, 358 
13/10/72 15:13:13, 358 
13/10/72 15:13:14, 229 
13/10/72 15:13:15, 229 
13/10/72 15:13:16, 65 
13/10/72 15:13:17, 15 
13/10/72 15:13:18, 15 
13/10/72 15:13:19, -213 
13/10/72 15:13:20, -148 
13/10/72 15:13:21, -8 
13/10/72 15:13:22, -186 
13/10/72 15:13:23, -186 
13/10/72 15:13:24, -22 
13/10/72 15:13:25, 55 
13/10/72 15:13:26, 73 
13/10/72 15:13:27, 34 
13/10/72 15:13:28, 34 
13/10/72 15:13:29, -196 
13/10/72 15:13:30, -128 
13/10/72 15:13:31, 12 
13/10/72 15:13:32, 218 
13/10/72 15:13:33, 218 
13/10/72 15:13:34, 230 
13/10/72 15:13:35, 9 
13/10/72 15:13:36, 9 
13/10/72 15:13:37, 300 
13/10/72 15:13:38, 218 
13/10/72 15:13:39, 230 
13/10/72 15:13:40, 218 
13/10/72 15:13:41, 230 
13/10/72 15:13:42, 9 
13/10/72 15:13:43, 66 
13/10/72 15:13:44, 300 
13/10/72 15:13:45, 172 
13/10/72 15:13:46, -815 
13/10/72 15:13:47, -705 
13/10/72 15:13:48, -452 
13/10/72 15:13:48, 460 
13/10/72 15:13:49, 706 
13/10/72 15:13:50, 706 
13/10/72 15:13:51, -809 
13/10/72 15:13:52, -815 
13/10/72 15:13:53, -809 
13/10/72 15:13:54, -705 
13/10/72 15:13:55, -336 
13/10/72 15:13:56, -609 
13/10/72 15:13:57, -609 
13/10/72 15:13:58, -573 
13/10/72 15:13:59, -353 
13/10/72 15:14:00, -353 
13/10/72 15:14:01, -241 
13/10/72 15:14:02, 214 
13/10/72 15:14:03, 214 
13/10/72 15:14:04, -17 
13/10/72 15:14:05, 302 
13/10/72 15:14:06, 553 
13/10/72 15:14:07, 505 
13/10/72 15:14:08, 505 
13/10/72 15:14:09, 298 
13/10/72 15:14:10, 323 
13/10/72 15:14:11, -486 
13/10/72 15:14:12, -381 
13/10/72 15:14:13, -381 
13/10/72 15:14:14, -566 
13/10/72 15:14:15, -357 
13/10/72 15:14:16, -357 
13/10/72 15:14:17, -412 
13/10/72 15:14:18, -412 
13/10/72 15:14:19, 41 
13/10/72 15:14:20, 210 
13/10/72 15:14:21, 210 
13/10/72 15:14:22, 175 
13/10/72 15:14:23, 162 
13/10/72 15:14:24, 156 
13/10/72 15:14:25, 211 
13/10/72 15:14:25, 211 
13/10/72 15:14:26, -111 
13/10/72 15:14:27, -111 
13/10/72 15:14:28, -172 
13/10/72 15:14:29, -373 
13/10/72 15:14:30, -373 
13/10/72 15:14:31, -529 
13/10/72 15:14:32, -840 
13/10/72 15:14:33, -702 
13/10/72 15:14:34, -562 
13/10/72 15:14:35, 27 
13/10/72 15:14:36, 27 
13/10/72 15:14:37, 417 
13/10/72 15:14:38, 636 
13/10/72 15:14:39, 636 
13/10/72 15:14:40, -1114 
13/10/72 15:14:41, 326 
13/10/72 15:14:42, 209 
13/10/72 15:14:43, 209 
13/10/72 15:14:44, 209 
13/10/72 15:14:45, -728 
13/10/72 15:14:46, -860 
13/10/72 15:14:47, -895 
13/10/72 15:14:48, -745 
13/10/72 15:14:49, -91 
13/10/72 15:14:50, 209 
13/10/72 15:14:51, -91 
13/10/72 15:14:52, -728 
13/10/72 15:14:53, -860 
13/10/72 15:14:54, 426 
13/10/72 15:14:55, -745 
13/10/72 15:14:56, -552 
13/10/72 15:14:57, -745 
13/10/72 15:14:58, 647 
13/10/72 15:14:59, 634 
13/10/72 15:15:00, 491 
13/10/72 15:15:01, 404 
13/10/72 15:15:02, 223 
13/10/72 15:15:03, 223 
13/10/72 15:15:03, 11 
13/10/72 15:15:04, 223 
13/10/72 15:15:05, 11 
